reference_report_no,reference_date,province,health_zone,cumulative_confirmed,cumulative_deaths,last_increase_report_date,days_since_last_increase,activity_status,status_label_ja,status_label_en,status_label_fr,status_sort,source,notes
N100,2026-08-22,Ituri,Tchomia,54,25,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Mandima,32,19,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Haut-Uélé,Gombari,3,1,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Mabalako,3,2,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Mongbwalu,600,283,2026-08-21,1,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Mangala,191,106,2026-08-21,1,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Nyankunde,122,35,2026-08-21,1,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Fataki,73,30,2026-08-21,1,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Kyondo,16,12,2026-08-21,1,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Mutwanga,1,1,2026-08-21,1,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Musienene,68,39,2026-08-20,2,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Haut-Uélé,Wamba,58,24,2026-08-20,2,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Damas,27,9,2026-08-20,2,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Haut-Uélé,Boma Mangbetu,24,9,2026-08-20,2,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Aungba,12,5,2026-08-20,2,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Bas Uélé,Buta,1,1,2026-08-20,2,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N98/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Bas Uélé,Viadana,1,0,2026-08-20,2,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N98/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Rimba,10,4,2026-08-19,3,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Tshopo,Makiso-Kisangani,6,4,2026-08-19,3,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Lolwa,17,4,2026-08-18,4,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Bas-Uele,Viadana,1,0,2026-08-18,4,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Ariwara,8,2,2026-08-17,5,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Oicha,6,4,2026-08-17,5,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Gety,5,2,2026-08-17,5,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Haut-Uélé,Pawa,20,15,2026-08-16,6,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Kalunguta,13,6,2026-08-16,6,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Vuhovi,5,2,2026-08-16,6,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Mambasa,14,7,2026-08-15,7,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Tshopo,Mangobo,2,2,2026-08-15,7,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Kilo,31,12,2026-08-13,9,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Drodro,13,6,2026-08-12,10,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Tshopo,Kabondo,3,1,2026-08-12,10,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Bas-Uele,Buta,1,1,2026-08-12,10,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Logo,11,5,2026-08-10,12,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Aru,7,6,2026-08-10,12,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Masereka,7,4,2026-08-10,12,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Tshopo,Bafwasende,1,0,2026-08-05,17,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Lubero,1,1,2026-08-02,20,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Tshopo,Wanie-Rukula,1,1,2026-08-02,20,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Tshopo,Tshopo,1,0,2026-07-30,23,watch_22_41,観察継続,Continue observation,Observation continue,2,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Mahagi,4,1,2026-07-27,26,watch_22_41,観察継続,Continue observation,Observation continue,2,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Adja,11,1,2026-07-25,28,watch_22_41,観察継続,Continue observation,Observation continue,2,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Haut-Uélé,Rungu,1,0,2026-07-23,30,watch_22_41,観察継続,Continue observation,Observation continue,2,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Boga,1,1,2026-07-21,32,watch_22_41,観察継続,Continue observation,Observation continue,2,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Tshopo,Lubunga,1,0,2026-07-11,42,cooldown_42_plus,警戒低下候補,Candidate for lower alert,Candidat à la baisse d’alerte,3,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Goma,1,0,2026-07-02,51,cooldown_42_plus,警戒低下候補,Candidate for lower alert,Candidat à la baisse d’alerte,3,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Kambala,2,0,2026-06-30,53,cooldown_42_plus,警戒低下候補,Candidate for lower alert,Candidat à la baisse d’alerte,3,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Sud-Kivu,Miti-Murhesa,3,1,2026-05-29,85,cooldown_42_plus,警戒低下候補,Candidate for lower alert,Candidat à la baisse d’alerte,3,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
